test_ID,test_file,success_on_attempt_#
000,630-dafny_tmp_tmpz2kokaiq_Solution_no_hints.dfy,failed
179,Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_11_no_hints.dfy,2
400,cs245-verification_tmp_tmp0h_nxhqp_power_no_hints.dfy,failed
114,Dafny-programs_tmp_tmpnso9eu7u_Algorithms + sorting_bubble-sort_no_hints.dfy,failed
569,dafny-synthesis_task_id_472_no_hints.dfy,failed
156,Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_50_examples_41_no_hints.dfy,failed
300,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_basic examples_add_by_one_details_no_hints.dfy,failed
133,Dafny_Learning_Experience_tmp_tmpuxvcet_u_week1_7_week5_ComputePower_no_hints.dfy,failed
575,dafny-synthesis_task_id_557_no_hints.dfy,failed
156,Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_50_examples_41_no_hints.dfy,failed
114,Dafny-programs_tmp_tmpnso9eu7u_Algorithms + sorting_bubble-sort_no_hints.dfy,failed
569,dafny-synthesis_task_id_472_no_hints.dfy,failed
114,Dafny-programs_tmp_tmpnso9eu7u_Algorithms + sorting_bubble-sort_no_hints.dfy,failed
156,Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_50_examples_41_no_hints.dfy,failed
569,dafny-synthesis_task_id_472_no_hints.dfy,failed
000,630-dafny_tmp_tmpz2kokaiq_Solution_no_hints.dfy,failed
